Experiment,SentenceFrame,Condition,FullSentence
4,401,4a,"Quando hai litigato con Maria, eri molto prepotente."
4,401,4b,"Quando Maria ha litigato con te, eri molto prepotente."
4,401,4c,"Quando Maria ha litigato con te, era molto prepotente."
4,401,4d,"Quando hai litigato con Maria, era molto prepotente."
4,402,4a,"Adesso che lavori con Paola, sei sempre puntuale."
4,402,4b,"Adesso che Paola lavora con te, sei sempre puntuale."
4,402,4c,"Adesso che Paola lavora con te, è sempre puntuale."
4,402,4d,"Adesso che lavori con Paola, è sempre puntuale."
4,403,4a,"Da quando collabori con Olga, hai avuto solo guai."
4,403,4b,"Da quando Olga collabora con te, hai avuto solo guai."
4,403,4c,"Da quando Olga collabora con te, ha avuto solo guai."
4,403,4d,"Da quando collabori con Olga, ha avuto solo guai."
4,404,4a,"Prima che tu chiarissi la questione con Bruno, eri impaziente."
4,404,4b,"Prima che Bruno chiarisse la questione con te, eri impaziente."
4,404,4c,"Prima che Bruno chiarisse la questione con te, era impaziente."
4,404,4d,"Prima che tu chiarissi la questione con Bruno, era impaziente."
4,405,4a,"Dopo che hai avuto quel siguido con Nando, ti comporti stranamente."
4,405,4b,"Dopo che Nando ha avuto quel disguido con te, ti comporti stranamente."
4,405,4c,"Dopo che Nando ha avuto quel disguido con te, si comporta stranamente."
4,405,4d,"Dopo che hai avuto quel siguido con Nando, si comporta stranamente."
4,406,4a,"Adesso che sei tornato da Maria, sei molto più felice."
4,406,4b,"Adesso che Maria è tornata da te, sei molto più felice."
4,406,4c,"Adesso che Maria è tornata da te, è molto piu felice."
4,406,4d,"Adesso che sei tornato da Maria, è molto piu felice."
4,407,4a,"L'ultima volta che sei uscito con Guido, hai pagato il conto."
4,407,4b,"L'ultima volta che Guido è uscito con te, hai pagato il conto."
4,407,4c,"L'ultima volta che Guido è uscito con te, ha pagato il conto."
4,407,4d,"L'ultima volta che sei uscito con Guido, ha pagato il conto."
4,408,4a,"Quando eri in classe con Lucia, avevi quindici anni."
